files,zero_crossing_rate,spectral_centroid,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,labels
<DirEntry 'country.00000.wav'>,0.09899261851369599,2147.259891958819,4574.3601481119795,-58.28120040893555,115.49993133544922,-38.74977493286133,67.96125030517578,-22.198619842529297,37.30508041381836,-23.031042098999023,30.109296798706055,-15.57457160949707,22.541040420532227,-11.747100830078125,7.702226638793945,-4.775145053863525,<DirEntry 'country
<DirEntry 'country.00001.wav'>,0.12099934140564579,2340.88355380977,4913.125872335412,-42.47029495239258,107.24176788330078,-44.56938171386719,68.26970672607422,-27.123136520385742,42.63793182373047,-23.487943649291992,33.872161865234375,-16.117956161499023,22.910886764526367,-9.59267520904541,12.46629810333252,-1.1460040807724,<DirEntry 'country
<DirEntry 'country.00002.wav'>,0.07253029732893732,1803.2596116317418,3952.1741394602923,-148.89088439941406,115.36006927490234,-29.007678985595703,64.28802490234375,-9.003324508666992,34.006500244140625,-11.020464897155762,23.703794479370117,-12.887205123901367,14.453336715698242,-11.278511047363281,2.2010841369628906,-5.968177795410156,<DirEntry 'country
<DirEntry 'country.00003.wav'>,0.10008442881675697,1825.049145731879,3710.602562493953,-84.78485107421875,129.32325744628906,-40.64555358886719,67.69316101074219,-9.54533863067627,19.31475257873535,-17.79828453063965,22.697031021118164,-16.109508514404297,19.10359001159668,-8.646830558776855,5.18989372253418,2.6199536323547363,<DirEntry 'country
<DirEntry 'country.00004.wav'>,0.11733602517898607,2380.085903322839,5011.769694514319,-53.2083625793457,104.80052947998047,-38.72528839111328,69.742431640625,-28.906322479248047,38.477699279785156,-21.41811752319336,33.16095733642578,-15.204132080078125,23.509130477905273,-9.987650871276855,13.182363510131836,-2.336730718612671,<DirEntry 'country
<DirEntry 'country.00005.wav'>,0.13188165531465848,2404.230579392124,4936.176956422679,-56.417354583740234,103.22349548339844,-47.332725524902344,65.07658386230469,-22.87663459777832,35.4269905090332,-25.714672088623047,35.503929138183594,-14.550361633300781,23.55841064453125,-8.526830673217773,11.210226058959961,-2.7864534854888916,<DirEntry 'country
<DirEntry 'country.00006.wav'>,0.1221637098316756,2280.3627710597734,4825.241544179179,-53.57114791870117,109.88847351074219,-36.11137390136719,59.583152770996094,-16.288745880126953,33.61481475830078,-28.940046310424805,39.563758850097656,-20.93561363220215,16.214601516723633,-6.594037055969238,6.554286956787109,-2.899502992630005,<DirEntry 'country
<DirEntry 'country.00007.wav'>,0.10521931840170279,2289.9003264919456,5057.43608504257,-53.043094635009766,106.0395736694336,-32.50222396850586,62.82450866699219,-21.49065399169922,42.73920822143555,-27.47356414794922,30.159160614013672,-16.573932647705078,20.628786087036133,-8.95079517364502,11.919307708740234,2.918766736984253,<DirEntry 'country
<DirEntry 'country.00008.wav'>,0.10160089991326138,2091.012783003646,4536.391767209185,-49.374507904052734,114.02452850341797,-39.8837890625,64.5526351928711,-21.715925216674805,42.94717788696289,-24.021427154541016,27.88368797302246,-12.126060485839844,20.44924545288086,-9.892415046691895,11.252574920654297,1.0213929414749146,<DirEntry 'country
<DirEntry 'country.00009.wav'>,0.1445082676263503,2520.2950284876733,5320.296223958333,-22.437053680419922,103.87784576416016,-43.62805938720703,68.63839721679688,-29.97651481628418,38.532413482666016,-28.806428909301758,34.119911193847656,-19.498123168945312,27.206409454345703,-12.98387336730957,7.282267093658447,-1.4723824262619019,<DirEntry 'country
<DirEntry 'country.00010.wav'>,0.07635880401682135,1596.270580629703,3312.8158533932715,-218.78567504882812,131.67430114746094,-27.592193603515625,57.773197174072266,-18.342700958251953,14.267952919006348,-16.473834991455078,10.792454719543457,-17.072799682617188,-0.1062401607632637,-6.082209587097168,-3.5279743671417236,0.32432353496551514,<DirEntry 'country
<DirEntry 'country.00011.wav'>,0.10468515866686001,2118.766731887739,4285.332246501595,-229.03395080566406,99.0980224609375,-22.379196166992188,52.18555450439453,-15.924521446228027,22.521604537963867,-10.910826683044434,16.67265510559082,-18.313215255737305,21.01298713684082,-14.634307861328125,8.983301162719727,-0.13228362798690796,<DirEntry 'country
<DirEntry 'country.00012.wav'>,0.0633039835895205,1418.2628552004699,2935.535149452581,-161.10214233398438,147.80926513671875,-25.608776092529297,48.56856155395508,-18.304214477539062,17.516483306884766,-24.613080978393555,10.043190002441406,-15.721627235412598,0.5579401850700378,-9.255409240722656,0.4408857822418213,-5.158614635467529,<DirEntry 'country
<DirEntry 'country.00013.wav'>,0.11820409174400619,2080.9737909154,4278.229453668793,-156.66323852539062,115.83246612548828,-33.67158126831055,53.43716049194336,-19.947355270385742,27.24810218811035,-17.251222610473633,18.395122528076172,-15.784232139587402,16.8961181640625,-11.933998107910156,1.558313250541687,-7.408086776733398,<DirEntry 'country
<DirEntry 'country.00014.wav'>,0.10530863302397525,2064.582868568839,4521.348143398347,-156.33795166015625,113.14584350585938,-22.26801109313965,54.36895751953125,-21.135696411132812,36.93406295776367,-16.911706924438477,20.538814544677734,-14.172645568847656,12.187458038330078,-14.529922485351562,6.571291923522949,-7.910560131072998,<DirEntry 'country
<DirEntry 'country.00015.wav'>,0.09730958164153132,1772.0160444265446,3825.9072854734627,-138.5720977783203,139.31808471679688,-32.12925720214844,58.59434127807617,-33.821659088134766,23.542978286743164,-30.03423500061035,21.499610900878906,-17.613698959350586,5.814459323883057,-15.894805908203125,-3.7175838947296143,-0.29833048582077026,<DirEntry 'country
<DirEntry 'country.00016.wav'>,0.061873882202242846,1345.5161936715206,2779.6151074898494,-223.5165557861328,154.95285034179688,-31.538171768188477,70.10820007324219,-19.152799606323242,4.6890363693237305,-21.765045166015625,-6.95667028427124,-10.692708015441895,-10.101582527160645,3.67858624458313,-12.662866592407227,-4.1283860206604,<DirEntry 'country
<DirEntry 'country.00017.wav'>,0.06410985535092807,1234.7099856340776,2564.033271099188,-197.0621337890625,167.51039123535156,-19.712257385253906,52.37444305419922,-19.176773071289062,18.451343536376953,-18.524398803710938,10.581228256225586,-14.563935279846191,3.639392137527466,-9.295732498168945,-0.8923746943473816,-5.140223026275635,<DirEntry 'country
<DirEntry 'country.00018.wav'>,0.09364539527745552,1670.2609735290698,3321.9670483794953,-159.0205841064453,137.82766723632812,-43.585018157958984,46.7885627746582,-8.827186584472656,27.06415557861328,-17.718753814697266,19.693960189819336,-14.677773475646973,12.21961498260498,-15.05521297454834,3.8357369899749756,-10.325419425964355,<DirEntry 'country
<DirEntry 'country.00019.wav'>,0.05167624347447796,1034.9717003371031,2013.587643652117,-264.1728515625,169.77198791503906,-28.75385093688965,31.53633689880371,11.411746978759766,-0.595378577709198,1.980144739151001,1.0512360334396362,-10.479690551757812,2.1323535442352295,-3.868374824523926,-4.642543792724609,-3.0097692012786865,<DirEntry 'country
<DirEntry 'country.00020.wav'>,0.09169793479311679,2058.547413258381,4524.945337423869,-187.11366271972656,107.66458892822266,-6.84257173538208,71.70256042480469,-17.255062103271484,44.67972946166992,-17.788606643676758,24.294614791870117,-17.99390411376953,12.964874267578125,-5.938114643096924,3.9299075603485107,-5.46422815322876,<DirEntry 'country
<DirEntry 'country.00021.wav'>,0.046120108879543695,971.6289508254989,1884.188580789588,-218.1829833984375,175.42739868164062,-27.883573532104492,42.776939392089844,6.367751121520996,6.685950756072998,-6.38764762878418,-3.7808878421783447,-5.747745990753174,-4.040355682373047,-5.607081890106201,-3.6481120586395264,-6.460726737976074,<DirEntry 'country
<DirEntry 'country.00022.wav'>,0.06821927264597835,1451.998675485702,3037.1975148636893,-215.99197387695312,138.85914611816406,-22.462568283081055,57.777130126953125,-6.08928918838501,9.38049030303955,-12.154692649841309,10.952160835266113,-23.779247283935547,3.0395803451538086,-9.754352569580078,-2.8322603702545166,0.13095350563526154,<DirEntry 'country
<DirEntry 'country.00023.wav'>,0.03383679548530549,1071.2172167715548,2074.5400979734627,-370.5818786621094,131.89251708984375,14.044658660888672,41.368370056152344,4.1793389320373535,18.290014266967773,-11.131278038024902,11.980610847473145,-8.497400283813477,2.908323287963867,-5.164492130279541,0.5805268287658691,-6.070733547210693,<DirEntry 'country
<DirEntry 'country.00024.wav'>,0.08463768247293117,1569.5247520924838,3160.6678690545245,-215.80364990234375,126.80847930908203,-20.39874839782715,59.54361343383789,-9.033577919006348,11.898802757263184,-14.776712417602539,2.6237008571624756,-15.36339282989502,-2.801419973373413,-13.048724174499512,5.555572032928467,-3.5278279781341553,<DirEntry 'country
<DirEntry 'country.00025.wav'>,0.05749105761794277,1344.0863090945315,2773.969511310905,-220.14146423339844,143.2494659423828,-25.92918586730957,52.4324836730957,-7.96366024017334,30.162328720092773,-11.515581130981445,10.059988975524902,-11.888663291931152,3.259373664855957,-8.40917682647705,-0.7055143713951111,-5.734680652618408,<DirEntry 'country
<DirEntry 'country.00026.wav'>,0.05576564614752513,1131.515311541758,2316.81777706279,-210.94415283203125,170.9741973876953,-20.668941497802734,43.77881622314453,-3.363186836242676,15.132701873779297,-3.073634147644043,8.585365295410156,-9.262571334838867,3.4606897830963135,-4.120845794677734,0.20733481645584106,3.4752426147460938,<DirEntry 'country
<DirEntry 'country.00027.wav'>,0.0972733287412993,1723.030763186008,3434.970567176624,-126.686279296875,139.57901000976562,-58.79117202758789,58.65790557861328,-21.091327667236328,17.521873474121094,-15.452938079833984,10.4043550491333,-16.466272354125977,8.04810905456543,-9.284219741821289,0.8339855074882507,-7.3987956047058105,<DirEntry 'country
<DirEntry 'country.00028.wav'>,0.06056122510634184,1280.3190353337563,2642.3055485063805,-188.47047424316406,155.1519012451172,-34.69491195678711,49.96408462524414,-10.676528930664062,10.934602737426758,-14.39352798461914,6.502449989318848,-12.212187767028809,6.5319695472717285,-9.873388290405273,-6.227705955505371,-0.786886990070343,<DirEntry 'country
<DirEntry 'country.00029.wav'>,0.054266060034802784,1083.7592161796113,2082.6670918829755,-186.43624877929688,176.6033935546875,-32.646610260009766,42.36484146118164,-2.452943801879883,0.008060464635491371,-12.324472427368164,5.124441623687744,-11.614188194274902,-1.404249668121338,0.7625828385353088,-4.256954193115234,-6.051571369171143,<DirEntry 'country
<DirEntry 'country.00030.wav'>,0.04222632081399846,965.046221962506,1863.0467390516242,-288.8117980957031,140.04010009765625,32.54207229614258,46.0709342956543,4.149240016937256,16.492155075073242,-12.414027214050293,-2.916027069091797,-11.322717666625977,-2.3430817127227783,-7.6121649742126465,-2.3020260334014893,-7.714718341827393,<DirEntry 'country
<DirEntry 'country.00031.wav'>,0.09364803871809745,1737.188322826285,3518.3805036434164,-155.0782012939453,135.16163635253906,-47.20340347290039,58.4737663269043,-17.636323928833008,17.363283157348633,-18.048927307128906,12.242652893066406,-17.709346771240234,14.106066703796387,-11.087044715881348,7.549533367156982,1.0324982404708862,<DirEntry 'country
<DirEntry 'country.00032.wav'>,0.06713923832656613,1555.4431651604389,3461.433258410673,-256.4506530761719,121.59602355957031,-14.381874084472656,63.8237190246582,-15.87674617767334,31.6551570892334,-3.8307571411132812,18.686935424804688,-8.711666107177734,10.021742820739746,-3.910274028778076,5.017712593078613,-1.6339471340179443,<DirEntry 'country
<DirEntry 'country.00033.wav'>,0.12396112782772621,2113.5139721988453,4302.310669228538,-158.64901733398438,111.45984649658203,-34.59819412231445,62.48732376098633,-32.071067810058594,29.869712829589844,-15.541268348693848,15.688591003417969,-12.552328109741211,8.24289321899414,-13.548456192016602,2.987816095352173,-5.697449684143066,<DirEntry 'country
<DirEntry 'country.00034.wav'>,0.11310149603634957,2005.723717234397,4073.8139070656903,-181.3219757080078,118.59300231933594,-42.013282775878906,44.60174560546875,-13.828949928283691,27.380470275878906,-16.897672653198242,23.07496452331543,-10.84035873413086,11.879971504211426,-3.274975538253784,3.452894926071167,-4.174739837646484,<DirEntry 'country
<DirEntry 'country.00035.wav'>,0.09893831871133024,1813.7421521037156,3677.0150948013343,-150.6609649658203,133.7279052734375,-42.06705093383789,57.506591796875,-8.230339050292969,18.2535400390625,-13.745048522949219,21.9312801361084,-30.13486099243164,21.308805465698242,-10.36064338684082,1.6593291759490967,-1.068284034729004,<DirEntry 'country
<DirEntry 'country.00036.wav'>,0.08555306820378963,1622.2010822359998,3293.322725583672,-352.7478332519531,114.78298950195312,-23.011518478393555,62.306602478027344,-1.8896170854568481,19.761802673339844,-5.205381393432617,7.421949863433838,-7.053924083709717,2.4832608699798584,-5.983813285827637,-2.5425262451171875,-4.872165679931641,<DirEntry 'country
<DirEntry 'country.00037.wav'>,0.08091647331786543,1622.9988117916294,3311.8416133446926,-201.48452758789062,140.34207153320312,-32.82963943481445,55.648685455322266,-6.69231653213501,27.758129119873047,-22.869508743286133,18.10957145690918,-19.569820404052734,14.969740867614746,-11.950872421264648,-0.04429934546351433,-3.0077693462371826,<DirEntry 'country
<DirEntry 'country.00038.wav'>,0.1132253601121423,2167.604951117691,4740.052544047274,-147.8048553466797,112.7380142211914,-28.506126403808594,49.91431427001953,-25.3259220123291,36.370887756347656,-19.822843551635742,26.22745132446289,-18.191904067993164,16.139827728271484,-3.2784199714660645,4.016634941101074,0.7678652405738831,<DirEntry 'country
<DirEntry 'country.00039.wav'>,0.1920622009135731,2858.123198634395,5622.0229005039155,-128.33018493652344,86.71916198730469,-35.90348815917969,82.51221466064453,-33.24747848510742,41.47664260864258,-29.446218490600586,33.99401092529297,-20.62393569946289,17.436904907226562,-10.328580856323242,8.271621704101562,-6.431793212890625,<DirEntry 'country
<DirEntry 'country.00040.wav'>,0.10546384075309358,1980.0421095925421,4077.627598879785,-134.13841247558594,125.06494140625,-42.79017639160156,65.41345977783203,-27.996713638305664,25.18404769897461,-18.724767684936523,22.629894256591797,-19.50326919555664,9.932382583618164,-11.572216987609863,3.2357544898986816,-5.488354206085205,<DirEntry 'country
<DirEntry 'country.00041.wav'>,0.08544884111562258,1864.52800452036,3962.8005025558296,-143.61192321777344,123.30976867675781,-26.3197078704834,67.8676528930664,-8.837173461914062,28.096332550048828,-12.216639518737793,24.51584815979004,-22.176401138305664,16.37226676940918,-7.682210922241211,7.19838285446167,-2.6562492847442627,<DirEntry 'country
